מַחְשֵׁב; כַּמְבְּיוּתֵר كمبيوتر
הגדה המערבית; אֵ(ל)צַّ׳פֵّה (א)לְעַ׳רְבִּיֵّה الضّفّة الغربيّة
סיגריה; סִיגַארַה سيجارة
אוזנייה; סַמַאעַה سماعة
נרמול יחסים, נורמליזציה; תַטְבִּיע تَطْبِيع
מסומם, סטלן; מְחַשֵّש محشّش
נְקֵבָה (בדקדוק); מֻאַנַّת׳ مؤنّث
מונה (במונית); עַדַّאד عدّاد
דיבור ריק, שטויות; חַכִּי פַאצִ׳י حَكِي فَاضِي 
צמחוני; נַבַּאתִי نباتي
עִבְרִית; עִבְּרַאנִי عِبْرَانِي
לְאוּמִּי; וַטַנִי وَطَنِي
בִּנְיָין; עַמַארַה عَمَارَة
מְאוֹד (בספרותית או מדוברת משכילית); גִ׳דַّן جدّاً
רַמְזוֹר; רַמְזוֹן رمزون
אהבה; הַוַא هَوَى
הישג; אִנְגַ׳אז انجاز
יוון; אֵלְ-יוּנַאן اليونان
נס, קפה נמס; נֵסְכַּאפֵיה  نسكافيه
רִאשׁוֹן; אַוַّל أَوَّل
התחלה; אַוַّל أوّل
צ׳אט; דַרְדַשֵה دردشة
בטוח, בטח, כמובן; אַכִּיד اكيد
צאן; עַ׳נַם غنم
בניין; בִּנַאיֵה بناية
תאורה; אִצָ׳אאָה اضاءة
בּוֹא, הַבַה (ונעשה משהו); חַ׳לִّינַא خلّينا
עמית (חבר ללימודים/עבודה); זַמִיל زَمِيل
צריך, זקוק (לפני שם עצם); בְּחַאגֵ׳ה לַ... بحاجة ل...
מישור; סַהְל سهل
מידע; מַעְלוּמַאת معلومات
סַכָּנָה; חַ׳טַר خَطَر
ביטוי, צירוף לשון; עִבַּארַה عِبَارَة
אות; חַרְף حرف
זָר; עַ׳רִיבּ غَرِيب
מעגל תנועה, כיכר; דַוַّאר دَوَّار
זֵיעָה; עַרַק عَرَق
סיפורים; קֻצַץ قصص
כתב עת, מגזין; מַגַ׳לֵّה مجلّة
תיקו, שיוויון; תַעַאדֻל تَعَادُل
תעתיק; נַקְחַרַה نقحرة
מתחיל, טירון; מֻבְּתַדִי مُبْتَدِي
מתקדם; מֻתַקַדֵّם متقدّم
זָכָר (בדקדוק); מֻדַ׳כַּّר مذكّر
ביטא, הגה, קרא בקול; נַטַק نطق
ציבור, המון, קהל; גֻ׳מהוּר جمهور
מנוחה; רָאחַה راحة
סקרן; פֻצ׳וּלִי فضولي
טבעונית; חֻ׳צַ׳רִיֵّה خضريّة
חכם; דַ׳כִּי ذَكِي
חוק; קַאנוּן قانون
קבלה, חשבונית; וַצְל وصل 
מרגש; מֻאַתֵّ׳ר مؤثّر
אוצר מילים; מֻפְרַדַאת مفردات
היזהר, שים לב (ציווי); אִוְעַא اوعى
גינה, גן; חַדִיקַה حديقة
נחמד, מהנה; לַדִ׳יד׳ لَذِيذ
מלכודת, פח; פַחّ׳ فخّ
חוֹבָה; וַאגֵ׳בּ وَاجِب
שקוף; שַפַّאף شفّاف
מְפוּרְסָּם; מַשְהוּר مَشْهُور
קפה שחור ללא סוכר; קַהְוֵה סַאדַה قهوة سادة
פשוט, ללא תוספות; סַאדַה سادة
חניון; מַוְקֵף موقف
שַרְווּל; כֻּםّ كمّ
התבייש; אִסְתַחַא إِسْتَحَى 
נֶהֱדָר, אַדִּיר; פַטִ׳יע فظيع
נהדר, נפלא; רַאאֵע رَائِع
גבר גבר; גַדַע جدع
חָבֵר; צַאחֵבּ صَاحِب
כושר; לַיַאקַה لياقة
שֵׁם מִשְׁפָּחָה; אִסֵם עֵילֵה إسم عيلة
שֵׁם פְּרָטִי; אִסֵם שַחְ׳צִי إسم شخصي
חמוד; נַעְ׳נוּש نغنوش
קִיבֵּל (אֶת פְּנֵי); אִסְתַקְבַּל إستقبل
חרם; מֻקַאטַעַה مقاطعة
דווקא כן, בטח שכן; אִמְבַּלַא إمبلى
טלפון; הַאתֵף هاتف
דיילת; מֻצִ׳יפֵה مضيفة
חניון, מגרש חנייה; מַוְקַף סַיַّארַאת موقف سيّارات
רהוט, צח; פַצִיח فَصِيح
האט; תְמַהַّל تمهّل 
ישב (בספרותית); גַ׳לַס جلس
מראש; סַלַפַן سلفًا
חיבוק; עַבְּטַה عبطة
תודעה, שכל, לב; בַּאל بَال
בְּרִית (הסכם); חִלְף حلف
מִשְׁקָל (מידת הכובד); וַזֵן وزن
הֲנָחָה (במחיר); תַחְ׳פִיץ׳ تخفيض
זוֹרֵם, מִסְתַדֵּר; סַאלֵכּ سالك
משלחת; וַפְד وفد
שיטה; טַרִיקַה طريقة
איכות הסביבה; גַ׳וְדֵת אֵלְבִּיאַה جودة البيئة
הבא, שלהלן; אֵ(ל)תַّאלִי التالي
משבר; אַזְמֵה أزمة
אַלְמָנָה; אַרְמַלֵה أَرْمَلِة
גַּן עֵדֶן; אִלְגַ׳נֵّה الجَنَّة
מבוקש; מַטְלוּבּ مَطْلُوب
מָקוֹם; מַכַּאן مَكَان 
חֲנוּת; מַחַלّ مَحَلّ
מגבת, מפית; בַּשְכִּיר بَشْكِير
דקות; דַקַאיֵק دَقَايِق
מְצִיאוּת; וַאקֵע وَاقِع
סִימְטָה (רחוב צר וקטן); זֻקַאק زُقَاق 
מָבוֹךְ; מַתַאהַה مَتَاهَة
דָּחוּף; עַאגֵ׳ל عَاجِل
עממי; שַעְבִּי شَعْبِي
מחיר; תַמַן تمن
בְּבַקָּשָׁה, עַל לֹא דָּבָר (תשובה לתודה)

טרם נבדק; אלעפו العفو
אין בּעד מה (תשובה לתודה); לַא שֻכְּר עַלַא וַאגֵ׳בּ لا شكر على واجب
מרוצה; רַאצִ׳י راضي
באופן שוטף, שוטף; בְּטַלַאקַה بطلاقة
עִיוֵור; כָּפִיף كفيف
פסיכולוג; מֻעַאלֵג׳ נַפְסִי معالج نفسي
בסוף, לבסוף, בסופו של דבר; בִּ(א)לְאַאחֵ׳ר بالآخر
סביבה; בִּיאַה بيئة
דֶּרֶך, סִגְנוֹן; נַמַט نمط 
קמח; דָקִיק دقيق
אֱגוֹזֵי לוּז; בֻּנְדֻק بُنْدُق
זלאביה (סוג של לביבה); זַלַאבְּיֵה زَلَابْيِة
מסילה; סִכֵּّה سكّة
חצאית; תַנّוּרַה تنّورة 
תריס; אַבַּג׳וּר أبجور
אפונה; בַּזֵלַّא بَزِلَّا
מתווך (דירות / עסקאות); סֻמְסַאר سمسار 
שמרים; חַ׳מִירֵה خَمِيرِة
שבדיה; אֵ(ל)-סְّוֵיד السّويد
אדריכל, ארכיטקט; מִעְמַארִי مِعْمَارِي
שיבולת שועל; שוּפַאן شُوفَان
גיל ההתבגרות; גִ׳יל אֵלְמֻרַאהַקַה جيل المراهقة
עורך (מקצוע); מֻחַרֵّר محرّر
רעם (קול נפץ לאחר הברק); רַעְד رَعْد
מַגָּפַיִים; גַ׳זְמֵה جزمة
אַסְטְרוֹנָאוּט (טייס חלל); רַאאֵד פַצַ׳אא رائد فضاء
רוכסן, ריץ׳-רץ׳; סַחַّאבּ سحّاب
פִּיסּוּל (יצירת פסלים); נַחְת نحت
מַנְחֶה (בטלוויזיה, ברדיו); מֻקַדֵّם مقدّم 
ברק, ברקים (הבזק אור לפני הרעם); בַּרְק بَرْق
תוספי תזונה; מֻכַּמַّלַאת עִ׳דַ׳אאִיֵّה مكمّلات غذائيّة
חובש; מֻסְעֵף مسعف
מוֹעָצָה; מַגְ׳לֵס مَجْلِس
השלים ,גמר, המשיך; כַּמַّל كمّل
תאונה; חַאדֵת׳ حادث
הֵבְדֵל; פַרְק فَرْق
חוץ, החוצה, בחוץ; בַּרַّא بَرَّا
חַיָּיל; גֻ׳נְדִי جُنْدِي
מוסר השכל; עִבְּרֵה عبرة 
חוֹל (חומר); רַמְל رَمْل
נפל; סַקַט سقط
טיול, סיור; גַ׳וְלֵה جولة
בִּיטוּחַ; תַאְמִין تَأْمِين
בקשה, דרישה; מֻטַאלַבֵּה مُطَالَبِة
עבירה (על החוק); מֻחַ׳אלַפֵה مخالفة 
עניין; אַמֵר امر
עניינים; אֻמוּר  امور
אֵירוּעַ; חַדַת׳ حدث
מחנה (צבאי); מֻעַסְכַּר مُعَسْكَر
מתבייש (אני); בַּאסְתְחִי باستحي
חינוך (בבית, גידול ילדים); תִרְבַּאיֵה تِرْبَايِة
רציפות, המשכיות, רֶצֶף; אִסְתִמְרַארִיֵّה إستمراريّة
תְּנוּעָה; חַרַכֵּה حَرَكِة
קישקוש, שירבוט; חַ׳רְבַּשֵה خربشة 
יחסי גומלין, יחסים בִּלָטריאליים; עַלַאקַאת תֻ׳נַאאִיֵّה علاقات ثنائيّة
מחלות נפש; אַמְרַאץ׳ עַקְלִיֵّה أمراض عقليّة
פיתוח; תַטְוִיר تطوير
הצבעה (בבחירות); אִקְתִרַאע إِقْتِرَاع
קוּפָּה (בחנות); צַנְדוּק صندوق 
קובץ (במחשב); מַלַףّ ملفّ
פרשן; מֻחַלֵّל محلّل 
אחריות; מַסְאוּלִיֵّה مسؤوليّة
חַיִּים; חַיַאה حَيَاة
הצעה; אִקְתִרַאח إقتراح
התחייב; אִלְתַזַם التزم
התרומם, עלה, הועלה; אִרְתַפַע إرتفع
תיק (משרדי, משפטי, מסמכים); מַלַףّ ملفّ
נִיסּוּי, בְּדִיקָה; תַגְ׳רִבֵּה تجربة
אִישּׁוּר; תַצְרִיח تَصْرِيح
מוֹדֶרְנִי, חָדִישׁ; חַדִית׳ حديث 
חגיגה, מסיבה; אִחְתִפַאל اِحتفال
יָשִׁיר; מֻבָּאשֵר مُبَاشِر
בּיצוּע, קיוּם; תַנְפִיד׳ تَنْفِيذ
קבלה, קבלת פנים; אִסְתִקְבַּאל إستقبال
חיילים; גְ׳נוּד جنود
חוֹזֶה, הסכם; עַקְד عقد
מחוץ לקופסא (חשיבה); חַ׳ארֵג׳ אִ(ל)צַّנְדוּק خارج الصندوق
מטרה; הַדַף هدف
תְּמִיכָה; דַעְם دَعْم
הַזְמָנָה; דַעְוַה دَعْوَة
מָתֵמָטִיקָה; רִיַאצִ׳יַאת رِيَاضِيَات
געגועים; אַשְוַאק أشواق 
כּוֹמֶר (איש דת נוצרי); קֵסّ  قِسّ
קָלַט; אִסְתַוְעַבּ إستوعب
קמוּר; מְקַוַّס مقوّس
נקודת מוצא; מֻנְטַלַק منطلق
תַּחֲרוּת; מֻסַאבַּקַה مُسَابَقَة
נִיצֵּחַ (במשחק); עַ׳לַבּ غلب
יוזמה; מֻבַּאדַרַה مبادرة
יתרון; אַפְצַ׳לִיֶﬞה افضليّة
הִקְרִיב; צַ׳חַّא ضحّى
ספונטני; תִלְקַאאִי تلقائي
תוכן; מֻחְתַוַא محتوى
ממוצע; מֻעַדַّל معدّل
סַקְרָנוּת; פֻצ׳וּל فُضُول
מתרגל; מֻדַרֵّבּ مدرّب
מקור; מַצְדַר مصدر 
מנוול; מְקַרֵّן مْقَرِّن
גסס; נַאזַע نازع
התלבט, היסס, היה נבוך; תְחַיַّר تحيّر
ירה, פתח באש; אָטלָק נָאר اطلق نار
געגוע; שוֹק شوق
הִיסֵּס, התלבט; תְרַדַّד تردّد
בושה, מבוכה (כשמישהו מתבייש/ביישן); חַ׳גַ׳ל خجل
מסלול, תוכנית (לימודים); מִנְהַאג׳ منهاج
הַנָּחָה, הַשְׁעָרָה; פַרְצִ׳יֵّה فرضيّة
אוקינוס; מֻחִיט محيط
פֶּנְסְיָה (פרישה מעבודה); תַקַאעֻד تَقَاعُد
תמיכה; סַנַד سند
מהימן; מַוְת׳וּק مَوْثُوق
האפס המוחלט ((בפיזיקה/כימיה)); א(ל)צִّפֵר אֵלְמֻטְלַק الصفر المطلق
בגד ים; מַאיוֹה مايوه
בגדי ים; מַאיוֹהַאת مايوهات
ליל הכלולות טרם נבדק; לילה א(ל)דח׳לה ليلة الدخلة
נִשְאַר; צַ׳לّ ضَلّ 
מָכַר; בַּאע باع
נֶכֶד; חַפִיד حَفِيد
מְעַט; קַלִיל قَلِيل
מזוודה; שַנְטַה شنطة
בחר; אִחְ׳תַאר إِخْتَار
הגיב, ענה; רַדّ ردّ
נזקק, נצרך; מֻחְתַאג׳ محتاج
הִתְקַדֵּם; תְקַדַّם تقدّم
סְכוּם; מַבְּלַע׳ مَبْلَغ
שָנַא; כִּרֵהּ كره
החשיב, חשב, העריך; חַ׳מַّן خمّن
מְסוּדָּר; מְרַתַّבּ مرتّب
בזבז (כסף); צַרַף صرف
מנומס; מֻאַדַّבּ مؤدّب
תִיקֵּן (משהו מקולקל); צַלַّח صلّح
צוללת; עַ׳וַّאצַה غوّاصة
מומחה; חַ׳בִּיר خبير 
הַרָס; דַמַّר دمّر 
רק, סתם (סתם שואל); מֻגַ׳רַّד مجرّد
הִגִּיעַ; וִצֵל وِصِل
רגועה, שקטה; הַאדְיֵה هادية
הִרְאָה; וַרְגַ׳א ورجى
התגעגעתי אֵלֵיךָ; אִשְתַקְתֵ-לַכּ إشتقت-لك
החליט; קַרַّר قرّر
צוות; טַאקֵם طَاقم 
הגיש; קַדַّם قدّم
נוף; מַנְטַ׳ר منظر 
הקלטה; תַסְגִ׳יל تَسْجِيل
נרגז, כועס; עַ׳צְ׳בַּאן غضبان
עקשן, קשה עורף; עַנִיד عنيد
נִיסָּיוֹן, מְיוּמָּנוּת (בתחום מסויים); חִ׳בְּרַה خِبْرَة
תחום; מַגַ׳אל مجال
קומה (בבניין); טַאבֵּק طَابِق
העדיף; פַצַّ׳ל فضّل 
בעצם, למעשה, בכלל; אַצְלַן أَصْلاً
הוֹדָה (ל...); שַכַּר شكر
הרדמה (רפואית); תַחְ׳דִיר تخدير
חִיפֵּש, הסתובב, הפעיל את, הניע את; דַוַّר دوّر
הִתְמָחוּת; תַחַ׳צֻّץ تخصّص
עייף (גרם לעייפות); אַתְעַבּ أتعب
כְּבָר (להדגשה, ׳בוא כבר׳); עַאד عاد
עצמאי (לא שכיר, באופי); מֻסְתַקִלّ مُسْتَقِلّ
חילק (לחלקים); קַסַם قسم
סבלנות; צַבְּר صبر
כִּיס; גֵ׳יבּ جِيب
הפוך; מַקְלוּבּ مقلوب
שנייה (מיקום); תַ׳אנְיֵה ثانية
נִמְחַק (שמחקו אותו); אִנְמַחַא إِنْمَحَى
דבר, עניין; שַעְ׳לֵה شغلة
דָּרַס; דַעַס دعس
שְלִישִי; תַ׳אלֵת׳ ثَالِث
קַרַע; מַזַע مَزَع
הווה, זמן הווה; חַאצֵ׳ר حاضر
הגה, ביטא; לַפַט׳ لفظ
אז, אֶלָא מָה, אִם כֵּן; לַכַּאן لكان
מִשְׁמֶרֶת (בעבודה); וַרְדִיֵّה ورديّة
לִיווַה; רַאפַק  رافق
מָחַק (פועל); מַחַא مَحَى
דוושה; דַעְסֵה دعسة
טלפון סלולרי, טלפון נייד; גַ׳וַّאל جوّال
בשמחה (לעונג לי); בִּכֻּלّ סֻרוּר بكلّ سرور
הִטְרִיד (באופן מיני); עַאכַּס عاكس
קֵרֵחַ (חסר שיער); אַצְלַע أَصْلَع
מוּדְאָג; מַהְמוּם مَهْمُوم
מִשְֹרַה; דַוַאם دوام
מטושטש; מְעַ׳בֵּّש مغبّش
מישהו; וַאחַד وَاحَد
מישהו (בשאלה או שלילה); חַדַא حَدَا
גמגם טרם נבדק; תאתא تأْتأَ
רַעַל; סַםّ سَمّ
גַּב; טַ׳הְר ظَهْر
חוֹרֶף; שִתַא شِتَى
אָבִיב; רַבִּיע رَبِيع
סְתָיו; חַ׳רִיף خَرِيف
מעלה (טמפרטורה); דַרַגֵ׳ה دَرَجِة
תיאטרון; מַסְרַח مَسْرَح
מזלג; שׁוֹכֵּה شوكة
כף; מַעְלַקַה مَعْلَقَة 
פֶּה (איבר בפנים); תֻםّ تم
תפילה; צַלַאה صَلَاة 
בֶּטֶן; בַּטְן بَطْن 
אַרְנָק; גֻ׳זְדַאן جُزْدَان
רובה; בַּארוּדֶה بارودة
מִטְרִיָּיה; שַמְסִיֵّה شمسيّة
מגניב; בִּ(י)גַ׳נֵّן بيجنّن
פֶּרַח; וַרְדֵה وَرْدِة
פַּרְפָּר; פַרַאשֵה  فَرَاشِة
עַכָּבִישׁ; עַנְכַּבּוּת  عَنْكَبُوت
טֶבַע; טַבִּיעַה طبيعة
זָכַה; פַאז فاز
רחב; עַרִיץ׳ عريض
כְּתֵפַיִים; כְּתַאף كْتَاف
חֲרָקִים; חַשַרַאת حَشَرَات
לְטָאָה; סַחְלִיֵّה سَحْلِيِّة 
נודד, מטייל; מִתְגַ׳וֵّל متجوّل
חושך; טַ׳לַאם ظَلَام 
חיכה, ציפה; נַטַר نَطَر
נֵהֱנָה, שָמַח; אִנְבַּסַט إنبسط 
ברכיים; רֻכַּבּ ركب
רֹאשׁ הַמֶּמְשָׁלָה; רַאִיס אֵלְוֻזַרַאא رَئِيس الْوُزَرَاء
כּוֹאֵב, מַכְאִיב; אַלִים أَلِيم
לא אכפת לי; בִּיפְרִקְש מַעִי بِيفْرِقْش مَعِي
כרטיסים; כְּרוּת كروت
מעולה, מצויין (על אוכל); מְרַתַّבּ مرتّب
חיפש; פַתַّש فتّش 
רגליים; אִגְ׳רֵין اجرين
בִּלְתִי (מילת שלילה); עֵ׳יר غير
עצלן; כַּסְלַאן كسلان
סוּפָה; זוֹבַּעַה زوبعة
סֶבֶל; מֻעַאנַאה معاناة
סַפָּה; כַּנַבַּאי كَنَبَاي
